,T (s),Latitude,Longitude,acce_1,acce_2,acce_3,gyro_1,gyro_2,gyro_3
205,8728.529,49.225973,-122.998993,-1.750134117,-12.61939494,5.508405984,-2.242488829,1.101565723,-0.076983194
206,8741.459,49.226071,-122.999187,0.951140041,4.433698383,7.526708015,0.1530818,-0.009066772,-0.112974658
207,8772.124,49.226369,-122.999786,-1.351569681,4.654128,7.537566293,0.677156828,0.278597311,-0.508532466
208,8779.044,49.226433,-122.999953,3.076136859,-14.58459902,-4.07941286,-2.591350457,-0.744231098,-1.193167275
209,8780.104,49.226434,-122.999955,1.811966762,-14.21711571,-2.668462509,-2.690233529,-2.290435067,-0.749551579
210,8784.424,49.226456,-122.999993,7.517647231,-14.12268968,-2.217060165,-2.85991752,0.858697634,-1.226796583
211,8789.844,49.226472,-123.000052,3.736113063,-13.37377861,-3.900744072,-2.66223178,-0.283653356,-1.640943979
212,8791.969,49.226475,-123.00008,6.253280816,-14.37126539,-1.609574979,-2.981993459,-0.39019987,-1.094438157
213,8805.219,49.226524,-123.000232,5.141817245,-13.77656396,-0.720959748,-3.189741741,2.266505365,-0.860925401
214,8824.954,49.226725,-123.000467,-0.473475384,4.144740616,6.789296354,0.818300854,0.16658464,-0.552302136
215,8829.504,49.226815,-123.0005,-0.348012927,4.876690449,5.544041279,0.504383428,0.054471282,-0.594427197
216,8837.899,49.226903,-123.000447,-0.56973219,3.663970625,3.88061218,0.398591098,0.117747405,0.818627529
217,8846.889,49.226892,-123.000325,0.289360868,5.751846633,7.157942215,0.794825206,0.166847296,-0.83345047
218,8848.144,49.226892,-123.000316,-0.97905947,5.388450167,6.709596305,0.087871429,-0.193854,0.037653904
219,8852.534,49.226896,-123.000292,-2.308198282,4.787886206,10.75223145,0.816683477,0.627807997,0.255255643
220,8856.504,49.226938,-123.000257,0.998253637,4.043462265,8.993045986,0.09329032,-0.083833062,-0.463350795
221,8857.504,49.226949,-123.000254,-0.793219192,4.88069553,10.70049421,0.332603349,-0.426399766,-0.053832273
222,8872.499,49.226997,-123.000068,-0.453904149,6.538560657,6.871684202,0.216258268,0.292693139,-0.202644467
223,8882.524,49.227002,-122.999912,-2.105644306,4.622645623,10.81412841,-0.29779692,0.0488493,0.234405675
224,8896.499,49.226988,-122.999993,-0.822871094,4.407708502,6.751163322,0.701542129,-0.33046028,-0.473640371
225,8909.504,49.22694,-123.000186,-5.993446956,-12.79730567,-2.819652565,1.418312238,-0.525326183,-1.044005566
226,8917.509,49.22691,-123.00025,5.406534779,-11.60143544,0.12223156,-3.574405268,2.14348086,0.50477466
227,8921.509,49.226909,-123.000312,2.309189629,-8.917529406,-3.470117085,2.090887196,-2.342700849,1.356027876
